1,HZD-01,HAZID,BRG WHB,3,2. External Impact – Dropped / Swung Object from platform activities (platform south hydrocarbon piping area is exposed to swing path),LOC of hydrocarbon condensate / gas leading to fire & explosion at BRG WHB & potential multiple fatalities,"1. Integrity of crane & lifting apparatus.
2. Ex rated equipment (minimum Zone 2).
3. F&G detection & ESD systems
4. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)
5. Fire extinguishers
6. Main Deck is plated and has no hydrocarbon process on this deck.
7. Pipeline is on Platform South while lifting from boat takes place from Platform North.",5A,Place restriction on lifting over the pipeline on Platform South and the vent boom on Platform East. (No go zone will be indicated on Main Deck Layout Drawing.),,RWP,Mechanical,Mechanical,,29-Feb-20,0,,"Condensate, NGL"
1,HZD-02,HAZID,BRG WHB,3,5. Leaks from flange / connection during draining activities of portable drain tote tank.,LOC of hydrocarbon condensate / gas leading to potential injury to personnel,"1. Flange management system
2. Ex rated equipment (minimum Zone 2).
3. F&G detection & ESD systems
4. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)
5. Fire extinguishers
6. Draining takes place after topsides is depressurised. 
7. Draining activity is manual.",3B,"SOP to be developed for safe draining to tote tank. 
SOP to consider Hess Mercury Management Plan.",,RWP,Project,Project,,30-Apr-20,1,,"Condensate, NGL"
1,HZD-03,HAZID,BRG WHB,3,8. Loss of containment from riser flange ,LOC of hydrocarbon condensate / gas leading to fire & explosion at BRG WHB & potential multiple fatalities,"1. Flange management system
2. Ex rated equipment (minimum Zone 2).
3. F&G detection & ESD systems
4. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)
5. Fire extinguishers
6. Double block and bleed (DBB) provided for choke valve change out
7. JSA prior to maintenance activities.",5A,Review requirement for firewall (instead of steel wall - radiation shield) to separate muster area from riser ESD valve in EERA.,,RWP,Safety,Safety,,29-Feb-20,2,,"Condensate, NGL"
1,HZD-04,HAZID,BRG WHB,3,8. Loss of containment from riser flange ,LOC of hydrocarbon condensate / gas leading to fire & explosion at BRG WHB & potential multiple fatalities,"1. Flange management system
2. Ex rated equipment (minimum Zone 2).
3. F&G detection & ESD systems
4. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)
5. Fire extinguishers
6. Double block and bleed (DBB) provided for choke valve change out
7. JSA prior to maintenance activities.",5A,"To consider extending the muster area to accommodate 25 pax at 0.8m2 per person, if possible.",,RWP,Safety,Safety,,29-Feb-20,3,,"Condensate, NGL"
1,HZD-05,HAZID,BRG WHB,3,Lightning strike ignition of gas vent,Fire at gas vent,"1. All venting is manual except blowdown during SIPROD.
2. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)
3. Vent Dispersion and Ignited Vent Radiation Study will be used for sizing the vent boom.",2B,Vent Dispersion and Ignition Study to recommend reducing radiation on sensitive areas as low as possible considering structural constraints.,,RWP,Safety,Safety,,29-Feb-20,0,,Hydrocarbon gas
1,HZD-06,HAZID,BRG WHB,3,Lightning strike ignition of gas vent,Fire at gas vent,"1. All venting is manual except blowdown during SIPROD.
2. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)
3. Vent Dispersion and Ignited Vent Radiation Study will be used for sizing the vent boom.",2B,Review requirement for automatic blowdown during SIPROD (can this be manual from drilling rig).,,RWP,Process,Process,,17-Mar-20,0,,Hydrocarbon gas
1,HZD-07,HAZID,BRG WHB,3,Leaks and hose break,Methanol fire with potential injury to personnel.,"1. Methanol is only used for well start up and will be removed when not in use.
2. Coaming provided for the methanol tote tank.
3. ARAFFF provided in methanol tote tank area.
4. Ex rated equipment (minimum Zone 2).
5. Flame detector x 3 around the methanol skid
6. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)",4B,Review whether permanent or temporary flame detector is require given that methanol is only used during well start up when the platform is manned.,,RWP,Instrument,Instrument,,30-Apr-20,0,,Methanol
1,HZD-08,HAZID,BRG WHB,3,Leaks and hose break,Methanol fire with potential injury to personnel.,"1. Methanol is only used for well start up and will be removed when not in use.
2. Coaming provided for the methanol tote tank.
3. ARAFFF provided in methanol tote tank area.
4. Ex rated equipment (minimum Zone 2).
5. Flame detector x 3 around the methanol skid
6. Emergency response equipment (i.e. muster area, liferaft, rescue equipment, rescue boat)",4B,Carry forward lesson learnt from previous hand injury accident in Hess to design the methanol tote tank flexible hose coupling.,,RWP,Mechanical,Mechanical,,17-Mar-20,0,,Methanol
1,HZD-09,HAZID,BRG WHB,3,Relocation of crane boom rest,Inaccessibility and potential for personnel to fall from height when unfastening crane boom rest for relocation.,"1. PPE
2. PTW",4A,Ensure sufficient access around crane boom rest on platform north west to allow for unbolting of boom rest safely.,,RWP,Structural,Structural,,17-Mar-20,0,,
1,HZD-10,HAZID,BRG WHB,3,"1. Bad weather.
2. Crane Failure.
3. Operator error. ","LOC of hydrocarbon condensate / gas leading to fire & explosion at BRG WHB & potential multiple fatalities
","1. Limitation on crane operation during bad weather. 
2. Crane overload protection system. 
3. Crane Operator competency.
4. Lifting equipment inspection and maintenance

See 01.05",5A,"Develop specific SOP for crane operations for crane package (SOP to include operating limit, robway switch, no go zones and etc.)",,RWP,Project,Project,,30-Apr-20,0,,Overhead equipment
